"","ano","mes","date","total"
"1",2014,"Apr",2014-04-15,686
"2",2014,"Aug",2014-08-15,472
"3",2014,"Dec",2014-12-15,547
"4",2014,"Feb",2014-02-15,466
"5",2014,"Jan",2014-01-15,501
"6",2014,"Jul",2014-07-15,524
"7",2014,"Jun",2014-06-15,407
"8",2014,"Mar",2014-03-15,561
"9",2014,"May",2014-05-15,538
"10",2014,"Nov",2014-11-15,524
"11",2014,"Oct",2014-10-15,625
"12",2014,"Sep",2014-09-15,522
"13",2015,"Apr",2015-04-15,610
"14",2015,"Aug",2015-08-15,539
"15",2015,"Dec",2015-12-15,438
"16",2015,"Feb",2015-02-15,548
"17",2015,"Jan",2015-01-15,569
"18",2015,"Jul",2015-07-15,611
"19",2015,"Jun",2015-06-15,573
"20",2015,"Mar",2015-03-15,662
"21",2015,"May",2015-05-15,664
"22",2015,"Nov",2015-11-15,425
"23",2015,"Oct",2015-10-15,466
"24",2015,"Sep",2015-09-15,432
"25",2016,"Apr",2016-04-15,539
"26",2016,"Aug",2016-08-15,552
"27",2016,"Dec",2016-12-15,476
"28",2016,"Feb",2016-02-15,516
"29",2016,"Jan",2016-01-15,517
"30",2016,"Jul",2016-07-15,589
"31",2016,"Jun",2016-06-15,488
"32",2016,"Mar",2016-03-15,525
"33",2016,"May",2016-05-15,523
"34",2016,"Nov",2016-11-15,482
"35",2016,"Oct",2016-10-15,487
"36",2016,"Sep",2016-09-15,525
"37",2017,"Apr",2017-04-15,421
"38",2017,"Aug",2017-08-15,484
"39",2017,"Dec",2017-12-15,433
"40",2017,"Feb",2017-02-15,485
"41",2017,"Jan",2017-01-15,457
"42",2017,"Jul",2017-07-15,511
"43",2017,"Jun",2017-06-15,495
"44",2017,"Mar",2017-03-15,507
"45",2017,"May",2017-05-15,531
"46",2017,"Nov",2017-11-15,444
"47",2017,"Oct",2017-10-15,462
"48",2017,"Sep",2017-09-15,503
"49",2018,"Apr",2018-04-15,535
"50",2018,"Aug",2018-08-15,435
"51",2018,"Dec",2018-12-15,318
"52",2018,"Feb",2018-02-15,426
"53",2018,"Jan",2018-01-15,466
"54",2018,"Jul",2018-07-15,476
"55",2018,"Jun",2018-06-15,494
"56",2018,"Mar",2018-03-15,531
"57",2018,"May",2018-05-15,496
"58",2018,"Nov",2018-11-15,338
"59",2018,"Oct",2018-10-15,451
"60",2018,"Sep",2018-09-15,420
"61",2019,"Apr",2019-04-15,398
"62",2019,"Aug",2019-08-15,374
"63",2019,"Dec",2019-12-15,393
"64",2019,"Feb",2019-02-15,379
"65",2019,"Jan",2019-01-15,381
"66",2019,"Jul",2019-07-15,435
"67",2019,"Jun",2019-06-15,365
"68",2019,"Mar",2019-03-15,402
"69",2019,"May",2019-05-15,494
"70",2019,"Nov",2019-11-15,454
"71",2019,"Oct",2019-10-15,494
"72",2019,"Sep",2019-09-15,355
