"","ano","mes","date","total"
"1",2014,"Apr",2014-04-15,177
"2",2014,"Aug",2014-08-15,150
"3",2014,"Dec",2014-12-15,195
"4",2014,"Feb",2014-02-15,149
"5",2014,"Jan",2014-01-15,178
"6",2014,"Jul",2014-07-15,126
"7",2014,"Jun",2014-06-15,158
"8",2014,"Mar",2014-03-15,166
"9",2014,"May",2014-05-15,120
"10",2014,"Nov",2014-11-15,162
"11",2014,"Oct",2014-10-15,173
"12",2014,"Sep",2014-09-15,175
"13",2015,"Apr",2015-04-15,263
"14",2015,"Aug",2015-08-15,157
"15",2015,"Dec",2015-12-15,204
"16",2015,"Feb",2015-02-15,223
"17",2015,"Jan",2015-01-15,266
"18",2015,"Jul",2015-07-15,228
"19",2015,"Jun",2015-06-15,228
"20",2015,"Mar",2015-03-15,202
"21",2015,"May",2015-05-15,226
"22",2015,"Nov",2015-11-15,219
"23",2015,"Oct",2015-10-15,218
"24",2015,"Sep",2015-09-15,127
"25",2016,"Apr",2016-04-15,189
"26",2016,"Aug",2016-08-15,275
"27",2016,"Dec",2016-12-15,203
"28",2016,"Feb",2016-02-15,212
"29",2016,"Jan",2016-01-15,198
"30",2016,"Jul",2016-07-15,218
"31",2016,"Jun",2016-06-15,205
"32",2016,"Mar",2016-03-15,202
"33",2016,"May",2016-05-15,249
"34",2016,"Nov",2016-11-15,188
"35",2016,"Oct",2016-10-15,236
"36",2016,"Sep",2016-09-15,240
"37",2017,"Apr",2017-04-15,280
"38",2017,"Aug",2017-08-15,198
"39",2017,"Dec",2017-12-15,160
"40",2017,"Feb",2017-02-15,206
"41",2017,"Jan",2017-01-15,223
"42",2017,"Jul",2017-07-15,209
"43",2017,"Jun",2017-06-15,266
"44",2017,"Mar",2017-03-15,265
"45",2017,"May",2017-05-15,303
"46",2017,"Nov",2017-11-15,153
"47",2017,"Oct",2017-10-15,184
"48",2017,"Sep",2017-09-15,168
"49",2018,"Apr",2018-04-15,164
"50",2018,"Aug",2018-08-15,167
"51",2018,"Dec",2018-12-15,179
"52",2018,"Feb",2018-02-15,171
"53",2018,"Jan",2018-01-15,139
"54",2018,"Jul",2018-07-15,158
"55",2018,"Jun",2018-06-15,176
"56",2018,"Mar",2018-03-15,166
"57",2018,"May",2018-05-15,167
"58",2018,"Nov",2018-11-15,190
"59",2018,"Oct",2018-10-15,190
"60",2018,"Sep",2018-09-15,166
"61",2019,"Apr",2019-04-15,150
"62",2019,"Aug",2019-08-15,161
"63",2019,"Dec",2019-12-15,206
"64",2019,"Feb",2019-02-15,129
"65",2019,"Jan",2019-01-15,190
"66",2019,"Jul",2019-07-15,138
"67",2019,"Jun",2019-06-15,188
"68",2019,"Mar",2019-03-15,166
"69",2019,"May",2019-05-15,164
"70",2019,"Nov",2019-11-15,194
"71",2019,"Oct",2019-10-15,177
"72",2019,"Sep",2019-09-15,117
